trade_date,Binance_Coin,Bitcoin,Bitcoin_Cash,Bitcoin_SV,Cardano,Chainlink,Crypto_com_Coin,EOS,Ethereum,Huobi_Token,Litecoin,Monero,NEO,Stellar,Tether,Tezos,TRON,UNUS_SED_LEO,USD_Coin,XRP
2019-12-20,0.892,0.222,0.288,3.495,2.265,5.495,6.198,1.215,-0.193,1.471,0.927,-1.692,-0.231,2.902,0,5.96,2.952,0.571,0,2.357
2019-12-21,-1.4,-0.383,-0.229,-3.603,-2.182,-2.604,-3.667,-1.6,-0.728,1.812,-0.72,-3.251,-1.04,0.017,0,-7.5,1.018,0.699,0,-0.632
2019-12-22,3.438,4.456,4.751,3.164,3.62,3.743,4.575,3.252,3.309,1.779,4.925,4.239,4.206,2.202,-0.99,-0.676,9.646,1.748,-0.99,1.492
2019-12-23,-3.396,-2.076,-3.122,-1.931,-3.673,-3.093,-1.868,-0.394,-2.841,-1.049,-2.669,-0.253,-3.7,-5.174,1,3.401,-7.175,-5.052,0,-3.064
2019-12-24,0.524,-0.45,-0.535,1.471,2.898,-1.064,0.029,1.186,0.35,1.06,-0.416,-2.387,2.212,0.522,0,-1.316,-1.517,-1.691,1,0.657
2019-12-25,-2.009,-0.647,-1.224,-0.913,-1.27,-3.226,-0.237,-1.953,-2.022,-1.748,-0.123,0.628,-1.025,-3.642,-0.99,-6,-2.157,0.79,0,-0.77
2019-12-26,0.304,-0.497,0.737,0.933,1.64,3.333,1.2,0.797,-0.071,-1.068,-0.886,-2.559,-1.496,3.821,0,-2.837,0.547,1.911,0,-0.17
2019-12-27,1.135,0.706,7.833,3.367,-3.445,1.613,0.671,1.976,0.673,0,2.26,0.066,2.57,2.184,1,0.73,-0.835,-1.804,0,0.372
2019-12-28,2.62,0.383,1.515,4.174,1.607,-1.058,-4.382,1.938,0.873,0.36,4.031,0.463,0.114,-2.029,-0.99,-3.623,1.617,-0.887,-0.99,1.109
2019-12-29,3.209,1.43,3.173,6.37,1.939,1.604,2.522,2.281,5.019,0.717,1.937,2.81,5.233,2.359,0,-1.504,1.687,0.86,1,1.982
2019-12-30,-1.413,-1.747,-1.672,-3.368,-2.013,-3.158,-2.71,-1.487,-1.581,-0.712,-2.107,-0.705,-2.486,-0.567,1,1.527,-2.496,-0.943,0,-1.308
2019-12-31,-1.577,-1.363,-2.283,0.103,-2.23,-3.804,-1.043,-2.642,-2.277,-1.434,-3.298,-4.151,-3.659,-1.589,-1.022,1.504,-0.701,0.007,-0.99,-0.812
2020-01-01,-0.291,0.091,-0.108,0.124,1.866,2.26,1.182,0.775,0.918,2.545,1.645,2.648,1.841,0.502,0.016,1.481,-0.421,0.45,0,-0.118
2020-01-02,-4.821,-2.982,-4.256,-4.486,-2.113,-3.867,-3.282,-5.385,-2.592,-2.482,-5.236,0,-4.068,-2.946,0.016,-9.489,-2.868,0.227,1,-2.4
2020-01-03,4.835,5.145,13.648,10.523,4.363,4.023,5.502,7.317,5.306,3.636,6.529,11.672,4.711,2.544,0,3.226,4.39,3.609,0,2.913
2020-01-04,1.684,0.896,1.623,6.88,1.214,1.657,0.066,1.136,0.671,2.456,2.145,-1.077,2.925,2.295,1,-1.562,0.64,0.047,0,0.431
2020-01-05,1.584,0.009,-0.849,1.094,0.364,-1.63,-0.205,1.124,0.896,0.685,0.508,7.044,-0.874,-1.973,0,0,0.754,0.599,0,0.608
2020-01-06,6.024,4.829,9.13,6.26,7.347,7.182,5.52,5.926,5.885,3.741,5.212,9.002,7.718,8.3,-0.99,3.968,6.79,1.717,-0.99,13.283
2020-01-07,0.334,5.077,-0.532,-3.183,-0.604,8.763,4.626,-0.35,-0.527,2.951,1.309,-0.254,0.512,1.453,0,-0.763,-1.203,1.608,-0.05,-3.428
2020-01-08,-2.732,-1.027,-0.904,0.096,-1.652,3.318,5.162,-2.105,-1.588,-2.229,-1.659,1.088,-2.953,-2.249,0,2.308,-2.115,1.785,0.05,-2.286
